enrichment_type,subtype,retrieval_method,strategy,metric,mean,median,std,min,max,count
answerability,PARTIAL,bm25,lastturn,nDCG@5,0.1644726470235294,0.0,0.3216161417548757,0.0,1.0,68
answerability,PARTIAL,bm25,lastturn,nDCG@10,0.18930197734117646,0.0,0.3235743469285717,0.0,1.0,68
answerability,PARTIAL,bm25,rewrite,R@1,0.1127450980367647,0.0,0.23070872216995636,0.0,1.0,68
answerability,PARTIAL,bm25,rewrite,R@3,0.21376050420147058,0.0,0.3484334506947504,0.0,1.0,68
answerability,PARTIAL,bm25,rewrite,R@5,0.30164565826617645,0.0,0.3951501553476967,0.0,1.0,68
answerability,PARTIAL,bm25,rewrite,R@10,0.3494397759132353,0.20833333334999998,0.4027226352913862,0.0,1.0,68
answerability,PARTIAL,bm25,rewrite,nDCG@1,0.23529411764705882,0.0,0.42733631967589086,0.0,1.0,68
answerability,PARTIAL,bm25,rewrite,nDCG@3,0.22107158796911763,0.0,0.34588756114681235,0.0,1.0,68
answerability,PARTIAL,bm25,rewrite,nDCG@5,0.2597099458705882,0.0,0.3512996602779489,0.0,1.0,68
answerability,PARTIAL,bm25,rewrite,nDCG@10,0.27827676564852943,0.10249390945,0.3495241323489048,0.0,1.0,68
answerability,PARTIAL,bm25,questions,R@1,0.08210784313529412,0.0,0.1950319142219837,0.0,1.0,68
answerability,PARTIAL,bm25,questions,R@3,0.1699929972,0.0,0.3300480657062962,0.0,1.0,68
answerability,PARTIAL,bm25,questions,R@5,0.21253501400588234,0.0,0.3601523562464406,0.0,1.0,68
answerability,PARTIAL,bm25,questions,R@10,0.2636554621867647,0.0,0.38924251212905747,0.0,1.0,68
answerability,PARTIAL,bm25,questions,nDCG@1,0.17647058823529413,0.0,0.3840544298562199,0.0,1.0,68
answerability,PARTIAL,bm25,questions,nDCG@3,0.1712134418367647,0.0,0.31707260629668105,0.0,1.0,68
answerability,PARTIAL,bm25,questions,nDCG@5,0.18719701783970588,0.0,0.3184520404770835,0.0,1.0,68
answerability,PARTIAL,bm25,questions,nDCG@10,0.2078986360617647,0.0,0.3203240891137861,0.0,1.0,68
answerability,PARTIAL,bge,lastturn,R@1,0.07440476190294118,0.0,0.18374264344462826,0.0,1.0,68
