enrichment_type,subtype,retrieval_method,strategy,metric,mean,median,std,min,max,count
multi_turn,N/A,elser,lastturn,R@1,0.3066993463990196,0.3333333333,0.28809586745388943,0.0,1.0,102
multi_turn,N/A,elser,lastturn,R@3,0.5908496732019608,0.5,0.3736186693324083,0.0,1.0,102
multi_turn,N/A,elser,lastturn,R@5,0.7436274509803922,1.0,0.33422359759635145,0.0,1.0,102
multi_turn,N/A,elser,lastturn,R@10,0.851307189545098,1.0,0.2680829374564792,0.0,1.0,102
multi_turn,N/A,elser,lastturn,nDCG@1,0.6470588235294118,1.0,0.48024455039979497,0.0,1.0,102
multi_turn,N/A,elser,lastturn,nDCG@3,0.6115481097058824,0.6934264036,0.37071826489340387,0.0,1.0,102
multi_turn,N/A,elser,lastturn,nDCG@5,0.6772952558441176,0.7440436048,0.33115008994854617,0.0,1.0,102
multi_turn,N/A,elser,lastturn,nDCG@10,0.7228898102833333,0.83836984575,0.29528656247722423,0.0,1.0,102
multi_turn,N/A,elser,rewrite,R@1,0.3066993463990196,0.3333333333,0.28809586745388943,0.0,1.0,102
multi_turn,N/A,elser,rewrite,R@3,0.5908496732019608,0.5,0.3736186693324083,0.0,1.0,102
multi_turn,N/A,elser,rewrite,R@5,0.7436274509803922,1.0,0.33422359759635145,0.0,1.0,102
multi_turn,N/A,elser,rewrite,R@10,0.851307189545098,1.0,0.2680829374564792,0.0,1.0,102
multi_turn,N/A,elser,rewrite,nDCG@1,0.6470588235294118,1.0,0.48024455039979497,0.0,1.0,102
multi_turn,N/A,elser,rewrite,nDCG@3,0.6115481097058824,0.6934264036,0.37071826489340387,0.0,1.0,102
multi_turn,N/A,elser,rewrite,nDCG@5,0.6772952558441176,0.7440436048,0.33115008994854617,0.0,1.0,102
multi_turn,N/A,elser,rewrite,nDCG@10,0.7228898102833333,0.83836984575,0.29528656247722423,0.0,1.0,102
multi_turn,N/A,elser,questions,R@1,0.3066993463990196,0.3333333333,0.28809586745388943,0.0,1.0,102
multi_turn,N/A,elser,questions,R@3,0.5908496732019608,0.5,0.3736186693324083,0.0,1.0,102
multi_turn,N/A,elser,questions,R@5,0.7436274509803922,1.0,0.33422359759635145,0.0,1.0,102
multi_turn,N/A,elser,questions,R@10,0.851307189545098,1.0,0.2680829374564792,0.0,1.0,102
multi_turn,N/A,elser,questions,nDCG@1,0.6470588235294118,1.0,0.48024455039979497,0.0,1.0,102
multi_turn,N/A,elser,questions,nDCG@3,0.6115481097058824,0.6934264036,0.37071826489340387,0.0,1.0,102
multi_turn,N/A,elser,questions,nDCG@5,0.6772952558441176,0.7440436048,0.33115008994854617,0.0,1.0,102
multi_turn,N/A,elser,questions,nDCG@10,0.7228898102833333,0.83836984575,0.29528656247722423,0.0,1.0,102
multi_turn,N/A,bm25,lastturn,R@1,0.1416666666637255,0.0,0.2523241798719185,0.0,1.0,102
multi_turn,N/A,bm25,lastturn,R@3,0.30816993463921566,0.0,0.3953229389529723,0.0,1.0,102
multi_turn,N/A,bm25,lastturn,R@5,0.3841503267960784,0.3333333333,0.40071016064595966,0.0,1.0,102
multi_turn,N/A,bm25,lastturn,R@10,0.4983660130745098,0.5,0.4185568335431018,0.0,1.0,102
multi_turn,N/A,bm25,lastturn,nDCG@1,0.29411764705882354,0.0,0.4578952124952739,0.0,1.0,102
multi_turn,N/A,bm25,lastturn,nDCG@3,0.3013855843009804,0.0,0.37574886381343725,0.0,1.0,102
multi_turn,N/A,bm25,lastturn,nDCG@5,0.33459956639705885,0.2359185379,0.36382514206521116,0.0,1.0,102
multi_turn,N/A,bm25,lastturn,nDCG@10,0.38160172890980393,0.35317774455,0.3581079183516747,0.0,1.0,102
multi_turn,N/A,bm25,rewrite,R@1,0.1416666666637255,0.0,0.2523241798719185,0.0,1.0,102
multi_turn,N/A,bm25,rewrite,R@3,0.30816993463921566,0.0,0.3953229389529723,0.0,1.0,102
multi_turn,N/A,bm25,rewrite,R@5,0.3841503267960784,0.3333333333,0.40071016064595966,0.0,1.0,102
multi_turn,N/A,bm25,rewrite,R@10,0.4983660130745098,0.5,0.4185568335431018,0.0,1.0,102
multi_turn,N/A,bm25,rewrite,nDCG@1,0.29411764705882354,0.0,0.4578952124952739,0.0,1.0,102
multi_turn,N/A,bm25,rewrite,nDCG@3,0.3013855843009804,0.0,0.37574886381343725,0.0,1.0,102
multi_turn,N/A,bm25,rewrite,nDCG@5,0.33459956639705885,0.2359185379,0.36382514206521116,0.0,1.0,102
multi_turn,N/A,bm25,rewrite,nDCG@10,0.38160172890980393,0.35317774455,0.3581079183516747,0.0,1.0,102
multi_turn,N/A,bm25,questions,R@1,0.1416666666637255,0.0,0.2523241798719185,0.0,1.0,102
multi_turn,N/A,bm25,questions,R@3,0.30816993463921566,0.0,0.3953229389529723,0.0,1.0,102
multi_turn,N/A,bm25,questions,R@5,0.3841503267960784,0.3333333333,0.40071016064595966,0.0,1.0,102
multi_turn,N/A,bm25,questions,R@10,0.4983660130745098,0.5,0.4185568335431018,0.0,1.0,102
multi_turn,N/A,bm25,questions,nDCG@1,0.29411764705882354,0.0,0.4578952124952739,0.0,1.0,102
multi_turn,N/A,bm25,questions,nDCG@3,0.3013855843009804,0.0,0.37574886381343725,0.0,1.0,102
multi_turn,N/A,bm25,questions,nDCG@5,0.33459956639705885,0.2359185379,0.36382514206521116,0.0,1.0,102
multi_turn,N/A,bm25,questions,nDCG@10,0.38160172890980393,0.35317774455,0.3581079183516747,0.0,1.0,102
multi_turn,N/A,bge,lastturn,R@1,0.21274509803529412,0.0,0.26598692729478157,0.0,1.0,102
multi_turn,N/A,bge,lastturn,R@3,0.461437908495098,0.5,0.39987608361417437,0.0,1.0,102
multi_turn,N/A,bge,lastturn,R@5,0.5467320261431372,0.5,0.40616833081816234,0.0,1.0,102
multi_turn,N/A,bge,lastturn,R@10,0.6513071895401961,0.875,0.39272598320251384,0.0,1.0,102
multi_turn,N/A,bge,lastturn,nDCG@1,0.46078431372549017,0.0,0.5009213022408143,0.0,1.0,102
multi_turn,N/A,bge,lastturn,nDCG@3,0.456939016795098,0.469278726,0.38161719711284037,0.0,1.0,102
